category,name,specialty,contact,location,languages,cost,notes,availability
crisis,Tele MANAS,Government Helpline,14416,Pan-India,"Hindi, English, Regional",Free,National tele-mental health program,24/7
crisis,Vandrevala Foundation,Crisis Support,+91 999 966 6555,Pan-India,"English, Hindi",Free,For quick response,24/7
crisis,Vandrevala Foundation,Mental Health,1860-2662-345;1800-2333-330,Pan-India,"English, Hindi",Free,Multiple helpline numbers,24/7
crisis,AASRA,Crisis Support,+91 222 754 6669,Pan-India,"English, Hindi",Free,24 hours helpline,24/7
crisis,Sneha Foundation,Crisis Support,+91 442 464 0050,Pan-India,"English, Hindi",Free,24 hours support,24/7
crisis,iCall,Psychosocial Support,+91 915 298 7821,Pan-India,"English, Hindi",Free,Professional counseling,Mon-Sat: 8AM-10PM
crisis,Kiran,Mental Health Rehabilitation,1800-599-0019,Pan-India,"Hindi, English, Regional",Free,24/7 helpline by Govt. of India,24/7
crisis,Connecting NGO,Mental Health,1800-2094-353,Pan-India,"English, Hindi",Free,Available 12PM-8PM,12PM-8PM
crisis,Muktaa Helpline,Mental Health,+91 788 788 9882;080-6926-7931,Pan-India,"English, Hindi",Free,Multiple numbers,Mon-Sat: 12PM-8PM
crisis,Mann Talks,Youth Mental Health,+91 868 613 9139,Pan-India,"English, Hindi",Free,Focus on youth,Mon-Sun: 9AM-6PM
crisis,Samaritans Mumbai,Crisis Support,+91 842 298 4528-4530,Mumbai,"English, Hindi",Free,Mumbai-specific helpline,Mon-Sun: 5PM-8PM
crisis,Fortis Stress Helpline,Anxiety/Stress,8376804102,Pan-India,"English, Hindi",Free,Specialized stress management,24/7
therapy,MindPeers,Online Therapy,https://www.mindpeers.co,Online,"English, Hindi",Paid,Flexible payment options,Appointment-based
therapy,Minds Foundation,Counseling,https://www.mindsfoundation.org/counseling,Multiple,"English, Hindi",Flexible,Community-based counseling,Appointment-based
helpline,AASRA Statewise Helplines,State Support,https://www.aasra.info/helpline.html,State-wise,Regional ,Free,Comprehensive state directory,24/7
